0.000000000 25.873724975 47.37584165 68.708225955 90.000000000

r=0.30 - 2.30

3.00 68.98571 66.16224 61.13677 56.65067 54.89204
3.15 1.73327 0.98381 -0.35221 -1.5514 -2.02287
3.30 -28.65778 -28.41845 -27.99388 -27.61945 -27.4731
3.40 -37.39462 -36.83948 -35.85072 -34.96917 -34.62317
3.50 -40.75249 -40.04386 -38.77905 -37.64756 -37.20259
3.60 -40.81868 -40.05754 -38.69645 -37.47591 -36.99514
3.70 -38.97366 -38.21997 -36.8705 -35.65815 -35.17979
3.80 -36.11399 -35.40147 -34.12471 -32.97596 -32.52191
3.90 -32.80953 -32.155 -30.98193 -29.92533 -29.50718
4.00 -29.41074 -28.82106 -27.76414 -26.81098 -26.43349
4.15 -24.56066 -24.06776 -23.18445 -22.38696 -22.07107
4.30 -20.27698 -19.8721 -19.14589 -18.48984 -18.23017
4.50 -15.58003 -15.27273 -14.72039 -14.22121 -14.02372
4.75 -11.19242 -10.9758 -10.58598 -10.23325 -10.09354
5.05 -7.5977 -7.45383 -7.19567 -6.96164 -6.86867
5.40 -4.9403 -4.84896 -4.68601 -4.53779 -4.47868
5.80 -3.11784 -3.06235 -2.96276 -2.87177 -2.83532
6.25 -1.93221 -1.89876 -1.83858 -1.78343 -1.76134
6.75 -1.18517 -1.16511 -1.12894 -1.09579 -1.08248
7.30 -0.72366 -0.71182 -0.6902 -0.67027 -0.66225
7.90 -0.44219 -0.435 -0.42189 -0.40972 -0.40493
8.60 -0.26167 -0.25748 -0.24963 -0.2424 -0.23946
9.60 -0.13328 -0.1311 -0.12705 -0.12335 -0.12181
10.90 -0.06125 -0.06026 -0.05846 -0.0568 -0.05608
12.50 -0.0266 -0.02616 -0.02546 -0.02473 -0.02447
14.50 -0.01084 -0.01061 -0.01032 -0.01007 -0.00998
17.00 -0.00411 -0.00404 -0.00396 -0.00385 -0.0038
20.00 -0.0016 -0.00153 -0.00146 -0.0015 -0.00143

1.70 24645.06392 23618.36284 21933.0868 20567.96909 20064.53546
1.90 12585.81806 12085.85739 11239.5648 10528.90867 10260.6427
2.10 6232.92122 5987.45693 5565.33202 5204.24777 5066.40612
2.30 2965.82222 2847.92629 2643.29574 2466.56387 2398.72022
2.40 2006.32784 1925.76163 1785.50505 1663.99749 1617.26342
2.50 1334.26523 1279.90904 1185.08295 1102.72065 1070.99441
2.60 867.88873 831.81661 768.79463 713.92978 692.77092
2.70 547.67341 524.25525 483.28652 447.54887 433.75378
2.85 250.60848 239.0764 218.85486 201.17636 194.34554
