1.5000000000 	9.3817225800 	15.5147747700 	18.2434289000 	10.9043592000 	35.8380151000 	53.0820701000 	-42.8277208000 	0.7403261400 	3.2079645600 	4.6657156100 	-149.9264417432 
1.6000000000 	8.0352121900 	12.5877901300 	16.8155786000 	8.5385345000 	25.0391965000 	35.4933716000 	-15.6745610000 	0.6477772100 	2.8501034000 	4.0952983200 	-150.1968214446 
1.7000000000 	7.4671569600 	11.5288935900 	16.5264597000 	7.5249596000 	20.4760845000 	27.7811701000 	-3.2391180000 	0.5665686900 	2.6892477200 	3.8612072800 	-150.3825631533 
1.8000000000 	7.2600447700 	11.3594267200 	16.8251497000 	7.0972106000 	18.4432733000 	24.0942981000 	3.5993199000 	0.4902480300 	2.6266116400 	3.8389717700 	-150.5076801550 
1.9000000000 	7.2399867100 	11.6805622800 	17.4667088000 	6.9547299000 	17.6291346000 	22.3374508000 	8.0656233000 	0.4156099400 	2.6172331000 	3.9117762200 	-150.5905671198 
2.0000000000 	7.3242514200 	12.3027528700 	18.3400422000 	6.9654884000 	17.4857447000 	21.6460683000 	11.5149621000 	0.3411409300 	2.6373251900 	4.0578844800 	-150.6414157915 
2.1000000000 	7.4689541700 	13.1214899300 	19.3917971000 	7.0645549000 	17.7547456000 	21.6500283000 	14.5885876000 	0.2663176500 	2.7052861900 	4.2516990400 	-150.6704182121 
2.2000000000 	7.6479185800 	14.0724409700 	20.5948929000 	7.2160303000 	18.3028579000 	22.1193832000 	17.6194609000 	0.1912457300 	2.7585726400 	4.4773355400 	-150.6841210816 
2.2800000000 	7.8043460900 	14.8993804600 	21.6559846000 	7.3602797000 	18.8803009000 	22.8184137000 	20.1432526000 	0.1313434200 	2.8053127000 	4.6730606900 	-150.6872822392 
2.3000000000 	7.8450021800 	15.1131103500 	21.9345638000 	7.4003008000 	19.0465025000 	23.0193111000 	20.7961984000 	0.1164349400 	2.8172811900 	4.7233504200 	-150.6872363713 
2.4000000000 	8.0483326600 	16.2137515200 	23.4005231000 	7.5966624000 	19.9631668000 	24.2515992000 	24.2258319000 	0.0426010300 	2.8340780000 	4.9828464400 	-150.6831446607 
2.5000000000 	8.2504640400 	17.3511431000 	24.9846562000 	7.8036084000 	20.9857578000 	25.8008634000 	27.9735655000 	-0.0294029800 	2.8989443500 	5.2468816200 	-150.6742646635 
2.6000000000 	8.4459115800 	18.5034615200 	26.6798477000 	8.0082951000 	22.1238167000 	27.6478575000 	32.0829318000 	-0.0987724700 	2.9591828300 	5.5126665800 	-150.6623185084 
2.7000000000 	8.6307915800 	19.6439796600 	28.4754312000 	8.2033775000 	23.3473486000 	29.7782304000 	36.5941137000 	-0.1647632500 	3.0206513900 	5.7796368100 	-150.6485338924 
2.8000000000 	8.8023138500 	20.7345852800 	30.3739374000 	8.3971862000 	24.6564145000 	32.1767231000 	41.5631623000 	-0.2266428400 	3.0782249800 	6.0408736300 	-150.6337922669 
2.9000000000 	8.9587594400 	21.7263822100 	32.3577725000 	8.5686716000 	26.0298505000 	34.8365029000 	47.0498296000 	-0.2838975000 	3.1302687200 	6.2998688400 	-150.6187243641 
3.0000000000 	9.0987028400 	22.5579422100 	34.4232726000 	8.7230819000 	27.4619405000 	37.7473216000 	53.1368679000 	-0.3360159200 	3.1792817800 	6.5578058600 	-150.6037931444 
