    1    1.2000    0.0100    1.2000   -40.00000000   -40.00000000   -40.00000000
    2    1.2000    0.0100    1.3000   -40.00000000   -40.00000000   -40.00000000
    3    1.2000    0.0100    1.4000   -40.00000000   -40.00000000   -40.00000000
    4    1.2000    0.0100    1.5000   -40.00000000   -40.00000000   -40.00000000
    5    1.2000    0.0100    1.6000   -40.00000000   -40.00000000   -40.00000000
    6    1.2000    0.0100    1.7000   -40.00000000   -40.00000000   -40.00000000
    7    1.2000    0.0100    1.7500   -40.00000000   -40.00000000   -40.00000000
    8    1.2000    0.0100    1.8000   -40.00000000   -40.00000000   -40.00000000
    9    1.2000    0.0100    1.8500   -40.00000000   -40.00000000   -40.00000000
   10    1.2000    0.0100    1.9000   -75.56739478   -75.32036778   -75.32014417
   11    1.2000    0.0100    2.0000   -75.66624189   -75.44759547   -75.44736216
   12    1.2000    0.0100    2.1500   -75.75358400   -75.57888808   -75.57863689
   13    1.2000    0.0100    2.3000   -75.79863270   -75.66690424   -75.66666526
   14    1.2000    0.0100    2.4000   -75.81512327   -75.71049637   -75.71026243
   15    1.2000    0.0100    2.6000   -75.82921876   -75.77398314   -75.77376439
   16    1.2000    0.0100    2.8000   -75.82933244   -75.81663171   -75.81642864
   17    1.2000    0.0100    3.0000   -75.84606241   -75.82278835   -75.84587363
   18    1.2000    0.0100    3.3000   -75.87464243   -75.80818311   -75.87446779
   19    1.2000    0.0100    3.6000   -75.89169622   -75.79273390   -75.89152503
   20    1.2000    0.0100    4.0000   -75.90425675   -75.77489329   -75.90407707
   21    1.2000    0.0100    4.5000   -75.91140954   -75.75958103   -75.91121442
   22    1.2000    0.0100    5.0000   -75.91420015   -75.75148393   -75.91398747
   23    1.2000    0.0100    6.0000   -75.91549138   -75.74632888   -75.91525737
   24    1.2000    0.0100    7.0000   -75.91555099   -75.74544589   -75.91531452
   25    1.2000    0.0100    8.0000   -75.91547902   -75.74523229   -75.91523963
   26    1.2000    0.0100   10.0000   -75.91535413   -75.74507511   -75.91508717
   27    1.2000    0.0100   12.0000   -75.91534077   -75.74506215   -75.91507428
   28    1.2000    0.0100   14.0000   -75.91533699   -75.74505869   -75.91507062
   29    1.2000    0.0100   16.0000   -75.91533570   -75.74505753   -75.91506936
    0    0.0000    0.0000    0.0000     0.00000000     0.00000000     0.00000000
   30    1.2000   10.0000    1.2000   -40.00000000   -40.00000000   -40.00000000
   31    1.2000   10.0000    1.3000   -40.00000000   -40.00000000   -40.00000000
   32    1.2000   10.0000    1.4000   -40.00000000   -40.00000000   -40.00000000
   33    1.2000   10.0000    1.5000   -40.00000000   -40.00000000   -40.00000000
   34    1.2000   10.0000    1.6000   -40.00000000   -40.00000000   -40.00000000
   35    1.2000   10.0000    1.7000   -40.00000000   -40.00000000   -40.00000000
   36    1.2000   10.0000    1.7500   -40.00000000   -40.00000000   -40.00000000
   37    1.2000   10.0000    1.8000   -40.00000000   -40.00000000   -40.00000000
   38    1.2000   10.0000    1.8500   -75.57586934   -75.30966752   -75.31473684
   39    1.2000   10.0000    1.9000   -75.62913778   -75.37581400   -75.38105855
   40    1.2000   10.0000    2.0000   -75.70807799   -75.48177855   -75.48746584
   41    1.2000   10.0000    2.1500   -75.77979632   -75.59502420   -75.60162895
   42    1.2000   10.0000    2.3000   -75.81794360   -75.67295421   -75.68089132
   43    1.2000   10.0000    2.4000   -75.83230732   -75.71165672   -75.72084171
   44    1.2000   10.0000    2.6000   -75.84656854   -75.76656636   -75.77991218
   45    1.2000   10.0000    2.8000   -75.85368401   -75.79767440   -75.82017807
   46    1.2000   10.0000    3.0000   -75.86380172   -75.80798964   -75.84824377
   47    1.2000   10.0000    3.3000   -75.88190441   -75.80188086   -75.87567466
   48    1.2000   10.0000    3.6000   -75.89535307   -75.78919557   -75.89214525
   49    1.2000   10.0000    4.0000   -75.90591360   -75.77296246   -75.90431795
   50    1.2000   10.0000    4.5000   -75.91206446   -75.75864403   -75.91127086
   51    1.2000   10.0000    5.0000   -75.91446080   -75.75105860   -75.91398827
   52    1.2000   10.0000    6.0000   -75.91552228   -75.74624469   -75.91524233
   53    1.2000   10.0000    7.0000   -75.91555501   -75.74543321   -75.91531091
   54    1.2000   10.0000    8.0000   -75.91547882   -75.74523006   -75.91523845
   55    1.2000   10.0000   10.0000   -75.91542365   -75.74515128   -75.91518229
   56    1.2000   10.0000   12.0000   -75.91541227   -75.74513716   -75.91516989
   57    1.2000   10.0000   14.0000   -75.91533697   -75.74505869   -75.91507061
   58    1.2000   10.0000   16.0000   -75.91533570   -75.74505753   -75.91506936
    0    0.0000    0.0000    0.0000     0.00000000     0.00000000     0.00000000
   59    1.2000   20.0000    1.2000   -40.00000000   -40.00000000   -40.00000000
